Andaman and Nicobar Islands ,18
Andhra Pradesh ,895
Arunachal Pradesh ,1
Assam ,35
Bihar ,148
Chandigarh ,27
Chhattisgarh ,36
Delhi ,2248
Goa ,7
Gujarat ,2407
Haryana ,262
Himachal Pradesh ,40
Jammu and Kashmir ,407
Jharkhand ,49
Karnataka ,443
Kerala ,438
Ladakh,18
Madhya Pradesh ,1695
Maharashtra ,5652
Manipur ,2
Meghalaya ,12
Mizoram ,1
Odisha ,83
Puducherry ,7
Punjab ,277
Rajasthan ,1890
Tamil Nadu ,1629
Telangana ,960
Tripura ,2
Uttarakhand ,46
Uttar Pradesh ,1509
West Bengal ,456
